school_number,school_name,wida_student_group,wida_exit_denom,wida_n_exit,wida_pct_exit,wida_growth_standard_denom,wida_n_met_growth_standard,wida_pct_met_growth_standard,wida_literacy_avg,wida_comp_avg,tvaas_overall_comp,tvaas_lit_comp,tvaas_num_comp,tvaas_litandnum_comp,tvaas_sci_comp,tvaas_ss_comp,merge_step1,letter_grade,merge_step2,act_validtests,act_part_rate,act_avg_eng,act_avg_math,act_avg_reading,act_avg_sci,act_avg_comp,num_scoring_21orhigher,pct_scoring_21orhigher,num_scoring_below19,pct_scoring_below19,merge_step3,hs_grad_cohort_state,hs_grad_count_state,hs_grad_rate_state,hs_grad_cohort_federal,hs_grad_count_federal,hs_grad_rate_federal,merge_step4,school_type,short_address,city,zip,metro_dist,schbrd_dist,schbrd_mbr,long,lat,cluster_geo,cluster_name,geometry,within_1mile_park,within_1mile_library
1,A. Z. Kelley Elementary,All Students,304.0,**,**,189.0,80,42.3,2.6,2.8,5.0,5.0,5.0,5.0,,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,5834 Pettus Rd,Antioch,37013,33,6,Cheryl Mayes,-86.659652,36.021787,Cane Ridge,Cane Ridge,POINT (-9646908.332962291 4303619.643904889),yes,yes
5,Alex Green Elementary,All Students,70.0,5,7.1,47.0,20,42.6,2.8,2.9,3.0,3.0,4.0,3.0,2.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,3921 Lloyd Rd,Whites Creek,37189,1,1,Robert Taylor,-86.818161,36.27661,Whites Creek,Whites Creek,POINT (-9664553.474128442 4338749.537463363),no,yes
10,Amqui Elementary,All Students,195.0,16,8.2,124.0,65,52.4,2.7,2.8,4.0,5.0,3.0,5.0,3.0,3.0,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,319 Anderson Ln,Madison,37115,9,3,Zach Young,-86.703837,36.273773,Hunters Lane,Hunters Lane,POINT (-9651826.984662991 4338357.799122071),no,no
15,Andrew Jackson Elementary,All Students,45.0,**,**,32.0,16,50,2.8,3.1,3.0,1.0,5.0,3.0,3.0,,both,B,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,110 Shute Ln,Old Hickory,37138,11,4,Berthena Nabaa-Mckinney,-86.62378,36.231592,McGavock,McGavock,POINT (-9642915.080188556 4332535.044725975),yes,yes
45,Bellshire Elementary,All Students,71.0,**,**,40.0,17,42.5,2.4,2.6,3.0,3.0,3.0,3.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1128 Bell Grimes Ln,Nashville,37207,3,1,Robert Taylor,-86.762129,36.269911,Hunters Lane,Hunters Lane,POINT (-9658316.020420315 4337824.549714079),yes,yes
80,Ida B. Wells Elementary,All Students,17.0,1,5.9,10.0,9,90,2.8,2.8,3.0,4.0,3.0,4.0,2.0,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,244 Foster St,Nashville,37207,5,1,Robert Taylor,-86.769169,36.178232,Maplewood,Maplewood,POINT (-9659099.7096355 4325173.615499711),yes,yes
82,Cane Ridge Elementary,All Students,299.0,18,6,185.0,80,43.2,2.5,2.7,5.0,5.0,5.0,5.0,4.0,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,3884 Asheford Trace,Antioch,37013,32,6,Cheryl Mayes,-86.618156,36.039726,Cane Ridge,Cane Ridge,POINT (-9642289.019372335 4306088.986083792),yes,yes
105,Chadwell Elementary,All Students,133.0,**,**,80.0,31,38.8,2.4,2.5,3.0,3.0,3.0,3.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,321 Port Dr,Madison,37115,5,1,Robert Taylor,-86.750621,36.218945,Maplewood,Maplewood,POINT (-9657034.955720264 4330789.838310952),yes,yes
110,Charlotte Park Elementary,All Students,255.0,16,6.3,172.0,93,54.1,2.7,2.8,3.0,3.0,3.0,3.0,2.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,480 Annex Ave,Nashville,37209,20,9,Abigail Tylor,-86.883719,36.151252,Lawson,Lawson,POINT (-9671851.357305868 4321453.422107972),yes,no
115,Eagle View Elementary School,All Students,275.0,21,7.6,160.0,85,53.1,2.6,2.8,5.0,5.0,5.0,5.0,3.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1470 Eagle View Bvld,Antioch,37013,32,6,Cheryl Mayes,-86.640466,36.050206,Cane Ridge,Cane Ridge,POINT (-9644772.557211932 4307531.841077664),yes,yes
120,Cockrill Elementary,All Students,77.0,**,**,52.0,20,38.5,2.3,2.5,3.0,2.0,3.0,3.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,4701 Indiana Ave,Nashville,37209,20,5,Tekendrea Fayne,-86.845112,36.156356,Pearl-Cohn,Pearl-Cohn,POINT (-9667553.645724813 4322157.099567692),yes,yes
130,Cole Elementary,All Students,555.0,47,8.5,365.0,181,49.6,2.6,2.8,2.0,2.0,3.0,2.0,2.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,5060 Colemont Dr,Antioch,37013,28,2,Rachel Anne Elrod,-86.698625,36.058342,Cane Ridge,Cane Ridge,POINT (-9651246.78747698 4308652.113634307),no,yes
140,Hattie Cotton Elementary,All Students,46.0,**,**,32.0,9,28.1,2.3,2.3,5.0,4.0,5.0,5.0,4.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1033 W Greenwood Ave,Nashville,37206,5,1,Robert Taylor,-86.747727,36.191077,Maplewood,Maplewood,POINT (-9656712.79711391 4326945.225155249),yes,yes
145,Crieve Hall Elementary,All Students,134.0,**,**,78.0,38,48.7,2.8,3,1.0,1.0,1.0,1.0,3.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,498 Hogan Rd,Nashville,37220,26,2,Rachel Anne Elrod,-86.758108,36.065753,Overton,Overton,POINT (-9657868.404747834 4309672.659367418),yes,yes
